seed,angle,expected_scenario,detected_scenario,field_accuracy,required_coverage,review_count,unmapped_count,unit_risk_count,file_status,passed,notes
20261001,vendor_noise,cement_rotary_kiln,cement_rotary_kiln,1.0,1.0,0,1,0,ready,True,
20261001,irrelevant_flood,cement_rotary_kiln,cement_rotary_kiln,1.0,1.0,0,21,0,ready,True,加入20个无关字段
20261001,missing_required,cement_rotary_kiln,cement_rotary_kiln,1.0,0.714,0,1,0,review,True,删除2个必需字段
20261001,type_corruption,cement_rotary_kiln,cement_rotary_kiln,1.0,1.0,0,1,0,review,True,注入3个不可解析数值
20261001,unit_conflict,cement_rotary_kiln,cement_rotary_kiln,1.0,1.0,0,1,1,review,True,raw_meal_feed伪装为rpm
20261001,forced_wrong_scenario,cement_rotary_kiln,distillation_column,0.0833,0.143,0,12,0,reject,True,强制使用distillation_column
20261001,vendor_noise,distillation_column,distillation_column,1.0,1.0,0,0,0,ready,True,
20261001,irrelevant_flood,distillation_column,distillation_column,1.0,1.0,0,20,0,ready,True,加入20个无关字段
20261001,missing_required,distillation_column,distillation_column,1.0,0.714,0,0,0,review,True,删除2个必需字段
20261001,type_corruption,distillation_column,distillation_column,1.0,1.0,0,0,0,review,True,注入3个不可解析数值
20261001,unit_conflict,distillation_column,distillation_column,1.0,1.0,0,0,1,review,True,reflux_flow伪装为rpm
20261001,forced_wrong_scenario,distillation_column,steel_reheating_furnace,0.1111,0.125,0,8,0,reject,True,强制使用steel_reheating_furnace
20261001,vendor_noise,steel_reheating_furnace,steel_reheating_furnace,1.0,1.0,0,1,0,ready,True,
20261001,irrelevant_flood,steel_reheating_furnace,steel_reheating_furnace,1.0,1.0,0,21,0,ready,True,加入20个无关字段
20261001,missing_required,steel_reheating_furnace,steel_reheating_furnace,1.0,0.75,0,1,0,review,True,删除2个必需字段
20261001,type_corruption,steel_reheating_furnace,steel_reheating_furnace,1.0,1.0,0,1,0,review,True,注入3个不可解析数值
20261001,unit_conflict,steel_reheating_furnace,steel_reheating_furnace,1.0,1.0,0,1,1,review,True,gas_flow伪装为rpm
