text,scenario_id,standard_name,relevance
SIS_厂区门禁记录_35,distillation_column,__irrelevant__,irrelevant
RTU.11.furnace_zone2_temp.PV,steel_reheating_furnace,furnace_zone2_temp,required
RTU_鼠标点击计数_51,cement_rotary_kiln,__irrelevant__,irrelevant
装置3-FEED_TEMP-CH02-PV,distillation_column,feed_temperature,useful
DCS.49.blower_frequency.MEAS,wastewater_aeration,blower_frequency,useful
APC.48.窑尾含氧量.AI,cement_rotary_kiln,kiln_inlet_o2,useful
PLC.82.WALKING_BEAM_SPEED.MEAS,steel_reheating_furnace,walking_beam_speed,required
DCS_03_BATCH_ID_VALUE_17,steel_reheating_furnace,heat_id,useful
装置5-采集时间-CH56-PV,steel_reheating_furnace,timestamp,required
装置1-walking_beam_speed-CH04-AI,steel_reheating_furnace,walking_beam_speed,required
APC.71.炉膛压力.AI,thermal_power_boiler,furnace_pressure,required
装置1-AIR_FUEL_RATIO-CH30-VALUE,steel_reheating_furnace,air_fuel_ratio,useful
DCS_班车到站时间_16,cement_rotary_kiln,__irrelevant__,irrelevant
APC_报表模板编号_85,thermal_power_boiler,__irrelevant__,irrelevant
PLC.22.FURNACE_PRESSURE.AI,thermal_power_boiler,furnace_pressure,required
PLC_03_主传电流_VALUE_68,cement_rotary_kiln,kiln_current,useful
SIS.88.出水化学需氧量.PV,wastewater_aeration,effluent_cod,required
HMI_03_FREE_LIME_AI_89,cement_rotary_kiln,clinker_free_lime,required
SIS_02_effluent_ammonia_AI_95,wastewater_aeration,effluent_ammonia,required
PLC_03_data_valid_AI_38,steel_reheating_furnace,data_valid,useful
DCS_03_进料温度_RAW_54,distillation_column,feed_temperature,useful
HMI_06_INFLUENT_NH3N_MEAS_74,wastewater_aeration,influent_ammonia,useful
DCS_06_BOTTOM_LEVEL_AI_98,distillation_column,bottom_level,useful
二期#汽包水位#测点59,thermal_power_boiler,drum_level,useful
PLC_06_进水NH3_N_MEAS_48,wastewater_aeration,influent_ammonia,useful
DCS.80.回流液流量.MEAS,distillation_column,reflux_flow,required
1号机组#INFLUENT_COD#测点19,wastewater_aeration,influent_cod,required
B线#鼓风量#测点95,wastewater_aeration,aeration_air_flow,required
1号机组#三段炉温#测点46,steel_reheating_furnace,furnace_zone3_temp,required
装置2-空气燃料比-CH30-PV,steel_reheating_furnace,air_fuel_ratio,useful
主控#RAW_FEED#测点37,cement_rotary_kiln,raw_meal_feed,required
