scenario_id,standard_name,candidate_alias,language,source_id,review_status,equivalence_note
steel_reheating_furnace,gas_flow,fuel flow rate,en,steel_furnace_mpc_2023,approved,燃料体积流量同义表达
steel_reheating_furnace,gas_flow,zone fuel flow,en,steel_furnace_mpc_2023,approved,炉区燃料流量
steel_reheating_furnace,gas_flow,natural gas flow rate,en,steel_furnace_monitoring_2025,approved,燃气流量
steel_reheating_furnace,gas_flow,preheating zone gas flow,en,steel_furnace_monitoring_2025,approved,预热段煤气流量
steel_reheating_furnace,gas_flow,heating zone gas flow,en,steel_furnace_monitoring_2025,approved,加热段煤气流量
steel_reheating_furnace,air_flow,combustion air flow,en,steel_furnace_mpc_2023,approved,助燃空气流量
steel_reheating_furnace,air_flow,zone air flow,en,steel_furnace_mpc_2023,approved,炉区空气流量
steel_reheating_furnace,furnace_zone1_temp,preheating zone temperature,en,steel_furnace_monitoring_2025,approved,预热段炉温
steel_reheating_furnace,furnace_zone2_temp,heating zone temperature,en,steel_furnace_monitoring_2025,approved,加热段炉温
steel_reheating_furnace,furnace_zone3_temp,soaking zone temperature,en,steel_furnace_mpc_2023,approved,均热段炉温
steel_reheating_furnace,slab_discharge_temp,billet exit temperature,en,steel_furnace_mpc_2023,approved,钢坯出炉温度
steel_reheating_furnace,slab_discharge_temp,reheating target temperature,en,steel_furnace_mpc_2023,approved,再热目标温度
steel_reheating_furnace,furnace_pressure,furnace pressure gauge,en,steel_furnace_monitoring_2025,approved,炉膛压力测点
steel_reheating_furnace,furnace_pressure,hot air pressure,en,steel_furnace_monitoring_2025,review,热风压力与炉膛压力不等价
distillation_column,reflux_flow,reflux rate,en,distillation_hssed_2025,approved,回流流量常用表达
distillation_column,reflux_flow,reflux liquid flow rate,en,distillation_hssed_2025,approved,回流液流量
distillation_column,steam_flow,reboiler steam flow,en,distillation_hssed_2025,approved,再沸蒸汽流量
distillation_column,steam_flow,heating steam rate,en,distillation_hssed_2025,approved,加热蒸汽流率
distillation_column,feed_flow,column feed rate,en,distillation_hssed_2025,approved,精馏塔进料流率
distillation_column,feed_flow,feed mass flow,en,distillation_hssed_2025,approved,进料质量流量
distillation_column,feed_temperature,feed inlet temperature,en,distillation_hssed_2025,approved,进料入口温度
distillation_column,top_temperature,column top temperature,en,distillation_hssed_2025,approved,塔顶温度
distillation_column,top_temperature,overhead temperature,en,distillation_hssed_2025,approved,塔顶温度行业表达
distillation_column,bottom_temperature,column bottom temperature,en,distillation_hssed_2025,approved,塔底温度
distillation_column,bottom_temperature,reboiler temperature,en,distillation_hssed_2025,approved,再沸器代表温度
distillation_column,column_pressure,column operating pressure,en,distillation_hssed_2025,approved,塔操作压力
distillation_column,top_product_purity,distillate purity,en,distillation_hssed_2025,approved,馏出物纯度
distillation_column,top_product_purity,overhead product composition,en,distillation_hssed_2025,approved,塔顶产品组成
distillation_column,bottom_level,column bottom liquid level,en,distillation_hssed_2025,approved,塔釜液位
distillation_column,steam_flow,reboiler duty,en,distillation_hssed_2025,review,热负荷与蒸汽流量相关但量纲不等价
thermal_power_boiler,unit_load,generator unit load,en,boiler_oxygen_ieee_2020,approved,机组负荷
thermal_power_boiler,unit_load,active power load,en,boiler_oxygen_ieee_2020,approved,有功负荷
thermal_power_boiler,coal_flow,fuel quantity,en,boiler_oxygen_ieee_2020,approved,论文中的锅炉燃料量
thermal_power_boiler,coal_flow,total fuel flow,en,boiler_oxygen_ieee_2020,approved,总燃料流量
thermal_power_boiler,primary_air_flow,primary air rate,en,boiler_oxygen_ieee_2020,approved,一次风流量
thermal_power_boiler,secondary_air_flow,secondary air rate,en,boiler_oxygen_ieee_2020,approved,二次风流量
thermal_power_boiler,feedwater_flow,water supply flow,en,boiler_oxygen_ieee_2020,approved,锅炉给水流量
thermal_power_boiler,feedwater_flow,boiler feed water flow,en,boiler_oxygen_ieee_2020,approved,锅炉给水流量
thermal_power_boiler,main_steam_flow,main steam rate,en,boiler_oxygen_ieee_2020,approved,主蒸汽流量
thermal_power_boiler,main_steam_pressure,main steam outlet pressure,en,boiler_oxygen_ieee_2020,approved,主汽出口压力
thermal_power_boiler,main_steam_temperature,main steam outlet temperature,en,boiler_oxygen_ieee_2020,approved,主汽出口温度
thermal_power_boiler,furnace_pressure,furnace negative pressure,en,boiler_oxygen_ieee_2020,approved,炉膛负压
thermal_power_boiler,flue_gas_o2,oxygen content of boiler flue gas,en,boiler_oxygen_ieee_2020,approved,锅炉烟气含氧量
