standard_name,display_name,description,role,data_type,unit,required,aliases,lower_bound,upper_bound
timestamp,时间戳,工业时序采样时间,time,datetime,datetime,true,时间|采集时间|记录时间|TIME|DATETIME|TS,,
gas_flow,煤气流量,进入炉区的标准状态煤气体积流量,manipulated,float,Nm3/h,true,燃气流量|煤气瞬时流量|GAS_FLOW|GAS_FLOW_NM3H|COALGAS_FLOW,0,60000
air_flow,助燃空气流量,进入炉区的助燃空气体积流量,manipulated,float,Nm3/h,true,空气流量|助燃风量|风量|AIR_FLOW|AIR_FLOW_NM3H,0,120000
furnace_zone1_temp,预热段炉温,预热段代表性炉膛温度,controlled,float,degC,true,一段炉温|预热段温度|炉温1|ZONE1_TEMP|ZONE1_TEMP_C,500,1450
furnace_zone2_temp,加热段炉温,加热段代表性炉膛温度,controlled,float,degC,true,二段炉温|加热段温度|炉温2|ZONE2_TEMP|ZONE2_TEMP_C,500,1450
furnace_zone3_temp,均热段炉温,均热段代表性炉膛温度,controlled,float,degC,true,三段炉温|均热段温度|炉温3|ZONE3_TEMP|ZONE3_TEMP_C,500,1450
walking_beam_speed,步进梁速度,步进梁输送钢坯的等效线速度,manipulated,float,m/min,true,步进速度|推钢速度|出钢速度|BEAM_SPEED|WALKING_BEAM_SPEED,0.05,5
slab_entry_temp,入炉钢坯温度,钢坯进入加热炉时的表面或代表温度,disturbance,float,degC,false,入炉温度|钢坯入口温度|板坯入炉温度|SLAB_IN_TEMP|ENTRY_TEMP,0,1000
slab_discharge_temp,出炉钢坯温度,钢坯离开加热炉时的目标质量温度,controlled,float,degC,true,出炉温度|钢坯出口温度|板坯出炉温度|SLAB_OUT_TEMP|SLAB_OUT_TEMP_C,700,1350
furnace_pressure,炉膛压力,炉膛相对环境的压力,state,float,Pa,false,炉压|炉膛压强|FURNACE_PRESSURE|PRESSURE_PA,-100,100
flue_gas_o2,烟气含氧量,烟气中的氧气体积分数,state,float,percent,false,含氧量|烟气氧|氧量|O2_PERCENT|FLUE_GAS_O2,0,21
flue_gas_temp,烟气温度,烟道或排烟口温度,state,float,degC,false,排烟温度|烟道温度|FLUE_GAS_TEMP|EXHAUST_TEMP,0,1600
air_fuel_ratio,空燃比,助燃空气与燃料的比值,state,float,ratio,false,空气燃料比|风燃比|AIR_FUEL_RATIO|AFR,0,10
slab_thickness,钢坯厚度,入炉钢坯厚度,disturbance,float,mm,false,板坯厚度|坯料厚度|THICKNESS|SLAB_THICKNESS,50,500
slab_width,钢坯宽度,入炉钢坯宽度,disturbance,float,mm,false,板坯宽度|坯料宽度|WIDTH|SLAB_WIDTH,300,2500
production_rate,生产节奏,单位时间加热炉钢坯产出质量,disturbance,float,t/h,false,产量|生产率|小时产量|PRODUCTION_RATE|THROUGHPUT,0,500
heat_id,炉次号,钢坯所属生产炉次或批次标识,identifier,string,string,false,炉号|批次号|HEAT_ID|BATCH_ID,,
data_valid,数据有效标记,源系统给出的采样有效性标记,quality,boolean,boolean,false,有效标记|质量码|VALID|QUALITY_FLAG,,
