text,scenario_id,standard_name,relevance
装置6-生料量-CH98-MEAS,cement_rotary_kiln,raw_meal_feed,required
装置1-负荷-CH20-PV,thermal_power_boiler,unit_load,required
SIS_办公室湿度_60,cement_rotary_kiln,__irrelevant__,irrelevant
PLC.71.汽包水位.MEAS,thermal_power_boiler,drum_level,useful
APC_01_给水流量_AI_59,thermal_power_boiler,feedwater_flow,required
装置3-分解炉煤量-CH37-MEAS,cement_rotary_kiln,calciner_coal_feed,useful
APC_文件上传时间_76,thermal_power_boiler,__irrelevant__,irrelevant
DCS_02_timestamp_PV_45,cement_rotary_kiln,timestamp,required
装置5-窑电流-CH60-AI,cement_rotary_kiln,kiln_current,useful
A线#窑出口温度#测点40,cement_rotary_kiln,kiln_outlet_temperature,required
装置2-原料温度-CH57-MEAS,distillation_column,feed_temperature,useful
现场#进水氨氮#测点19,wastewater_aeration,influent_ammonia,useful
RTU_05_TIME_RAW_17,cement_rotary_kiln,timestamp,required
SIS_账户登录次数_22,wastewater_aeration,__irrelevant__,irrelevant
装置3-污水温度-CH91-MEAS,wastewater_aeration,water_temperature,useful
RTU_日报打印次数_15,cement_rotary_kiln,__irrelevant__,irrelevant
DCS.65.给水量.MEAS,thermal_power_boiler,feedwater_flow,required
DCS.53.WIDTH.AI,steel_reheating_furnace,slab_width,useful
PLC.68.进水流量.PV,wastewater_aeration,influent_flow,required
B线#COAL_FEED#测点10,cement_rotary_kiln,coal_feed,required
DCS_04_production_rate_MEAS_99,steel_reheating_furnace,production_rate,useful
B线#TIME#测点84,thermal_power_boiler,timestamp,required
装置4-主汽温度-CH97-VALUE,thermal_power_boiler,main_steam_temperature,required
SIS.78.进料温度.MEAS,distillation_column,feed_temperature,useful
A线#OUT_COD#测点12,wastewater_aeration,effluent_cod,required
RTU.78.LOAD.AI,thermal_power_boiler,unit_load,required
1号机组#FLUE_GAS_O2#测点68,steel_reheating_furnace,flue_gas_o2,useful
装置7-采集时间-CH81-VALUE,wastewater_aeration,timestamp,required
装置1-KILN_INLET_O2-CH53-PV,cement_rotary_kiln,kiln_inlet_o2,useful
装置5-KILN_SPEED-CH71-AI,cement_rotary_kiln,kiln_speed,required
RTU_06_FEED_FLOW_PV_93,distillation_column,feed_flow,required
RTU.24.BOTTOM_LEVEL.MEAS,distillation_column,bottom_level,useful
RTU_班车到站时间_67,distillation_column,__irrelevant__,irrelevant
PLC.13.SLAB_IN_TEMP.AI,steel_reheating_furnace,slab_entry_temp,useful
装置5-influent_ammonia-CH56-PV,wastewater_aeration,influent_ammonia,useful
SIS_巡检照片地址_84,steel_reheating_furnace,__irrelevant__,irrelevant
SIS_04_main_steam_flow_RAW_76,thermal_power_boiler,main_steam_flow,useful
B线#曝气空气量#测点25,wastewater_aeration,aeration_air_flow,required
SIS_视频码率_36,thermal_power_boiler,__irrelevant__,irrelevant
二期#窑头温度#测点38,cement_rotary_kiln,kiln_outlet_temperature,required
HMI_04_燃煤量_VALUE_72,thermal_power_boiler,coal_flow,required
现场#ZONE3_TEMP_C#测点66,steel_reheating_furnace,furnace_zone3_temp,required
装置6-AERATION_AIR_FLOW-CH18-RAW,wastewater_aeration,aeration_air_flow,required
RTU.84.主汽压力.PV,thermal_power_boiler,main_steam_pressure,required
SIS_厂区门禁记录_94,cement_rotary_kiln,__irrelevant__,irrelevant
现场#给水量#测点5,thermal_power_boiler,feedwater_flow,required
二期#钢坯厚度#测点94,steel_reheating_furnace,slab_thickness,useful
RTU_02_钢坯厚度_RAW_12,steel_reheating_furnace,slab_thickness,useful
DCS_画面刷新周期_64,distillation_column,__irrelevant__,irrelevant
HMI.56.二段炉温.AI,steel_reheating_furnace,furnace_zone2_temp,required
B线#influent_ammonia#测点42,wastewater_aeration,influent_ammonia,useful
SIS_班车到站时间_90,cement_rotary_kiln,__irrelevant__,irrelevant
HMI_打印机墨粉余量_93,distillation_column,__irrelevant__,irrelevant
SIS_06_return_sludge_flow_AI_37,wastewater_aeration,return_sludge_flow,useful
RTU_05_采集时间_RAW_81,steel_reheating_furnace,timestamp,required
装置3-air_fuel_ratio-CH09-PV,steel_reheating_furnace,air_fuel_ratio,useful
DCS.65.gas_flow.PV,steel_reheating_furnace,gas_flow,required
PLC.53.分解炉煤量.AI,cement_rotary_kiln,calciner_coal_feed,useful
PLC_02_出钢速度_RAW_40,steel_reheating_furnace,walking_beam_speed,required
APC_04_WALKING_BEAM_SPEED_MEAS_68,steel_reheating_furnace,walking_beam_speed,required
RTU_04_窑入口温度_MEAS_30,cement_rotary_kiln,kiln_inlet_temperature,required
二期#煤气流量#测点64,steel_reheating_furnace,gas_flow,required
A线#主汽流量#测点94,thermal_power_boiler,main_steam_flow,useful
APC_交换机端口状态_77,wastewater_aeration,__irrelevant__,irrelevant
APC.38.INFLUENT_COD.PV,wastewater_aeration,influent_cod,required
HMI_鼠标点击计数_64,thermal_power_boiler,__irrelevant__,irrelevant
SIS_01_记录时间_AI_04,distillation_column,timestamp,required
装置6-进料温度-CH45-RAW,distillation_column,feed_temperature,useful
A线#塔压#测点59,distillation_column,column_pressure,useful
A线#塔釜温度#测点87,distillation_column,bottom_temperature,required
SIS.81.均热段温度.AI,steel_reheating_furnace,furnace_zone3_temp,required
APC.53.PH.PV,wastewater_aeration,ph,useful
SIS_05_slab_width_RAW_37,steel_reheating_furnace,slab_width,useful
PLC.40.data_valid.MEAS,steel_reheating_furnace,data_valid,useful
APC_03_采集时间_PV_10,thermal_power_boiler,timestamp,required
SIS_文件上传时间_94,distillation_column,__irrelevant__,irrelevant
RTU_06_RAW_MEAL_FEED_RAW_17,cement_rotary_kiln,raw_meal_feed,required
APC_04_塔釜液位_MEAS_96,distillation_column,bottom_level,useful
HMI_01_采集时间_PV_15,distillation_column,timestamp,required
HMI_打印机墨粉余量_46,wastewater_aeration,__irrelevant__,irrelevant
RTU_值班员电子签名_28,cement_rotary_kiln,__irrelevant__,irrelevant
SIS.47.WALKING_BEAM_SPEED.MEAS,steel_reheating_furnace,walking_beam_speed,required
1号机组#窑入口温度#测点51,cement_rotary_kiln,kiln_inlet_temperature,required
PLC_网络往返时延_90,cement_rotary_kiln,__irrelevant__,irrelevant
1号机组#窑出口温度#测点16,cement_rotary_kiln,kiln_outlet_temperature,required
主控#sootblower_state#测点28,thermal_power_boiler,sootblower_state,useful
PLC.37.主蒸汽温度.VALUE,thermal_power_boiler,main_steam_temperature,required
现场#AIR_FLOW#测点71,steel_reheating_furnace,air_flow,required
DCS.50.排烟温度.AI,steel_reheating_furnace,flue_gas_temp,useful
PLC_05_酸碱度_RAW_86,wastewater_aeration,ph,useful
HMI_05_ZONE2_TEMP_MEAS_61,steel_reheating_furnace,furnace_zone2_temp,required
装置7-塔顶压力-CH52-PV,distillation_column,column_pressure,useful
RTU_04_mlss_VALUE_14,wastewater_aeration,mlss,required
RTU_数据库备份状态_42,thermal_power_boiler,__irrelevant__,irrelevant
主控#TS#测点36,cement_rotary_kiln,timestamp,required
APC.33.IN_AMMONIA.AI,wastewater_aeration,influent_ammonia,useful
二期#ID_FAN_SPEED#测点52,cement_rotary_kiln,id_fan_speed,useful
APC.71.二次风量.PV,thermal_power_boiler,secondary_air_flow,useful
APC_报表模板编号_80,steel_reheating_furnace,__irrelevant__,irrelevant
APC_04_混合液污泥浓度_AI_91,wastewater_aeration,mlss,required
DCS_05_主汽压_AI_37,thermal_power_boiler,main_steam_pressure,required
HMI.88.flue_gas_temp.AI,steel_reheating_furnace,flue_gas_temp,useful
DCS_04_top_temperature_AI_20,distillation_column,top_temperature,required
二期#时间戳#测点15,thermal_power_boiler,timestamp,required
B线#AIR_FLOW#测点19,steel_reheating_furnace,air_flow,required
装置8-回流量-CH61-PV,distillation_column,reflux_flow,required
PLC_03_炉膛压力_PV_39,thermal_power_boiler,furnace_pressure,required
APC.12.CLINKER_FCAO.VALUE,cement_rotary_kiln,clinker_free_lime,required
主控#曝气池DO#测点75,wastewater_aeration,dissolved_oxygen,required
APC.14.空燃比.MEAS,steel_reheating_furnace,air_fuel_ratio,useful
装置1-effluent_ammonia-CH88-MEAS,wastewater_aeration,effluent_ammonia,required
RTU.73.SOOTBLOWER_STATE.VALUE,thermal_power_boiler,sootblower_state,useful
APC_厂区门禁记录_60,distillation_column,__irrelevant__,irrelevant
APC.41.gas_flow.RAW,steel_reheating_furnace,gas_flow,required
装置9-回流量-CH45-AI,distillation_column,reflux_flow,required
SIS_05_f_CaO_PV_65,cement_rotary_kiln,clinker_free_lime,required
主控#炉膛温度#测点62,thermal_power_boiler,furnace_temperature,useful
APC_巡检照片地址_71,wastewater_aeration,__irrelevant__,irrelevant
HMI_02_汽包水位_MEAS_03,thermal_power_boiler,drum_level,useful
PLC_03_窑头温度_VALUE_77,cement_rotary_kiln,kiln_outlet_temperature,required
装置4-进水COD-CH85-PV,wastewater_aeration,influent_cod,required
装置4-窑速-CH60-MEAS,cement_rotary_kiln,kiln_speed,required
装置7-BATCH_ID-CH83-MEAS,steel_reheating_furnace,heat_id,useful
PLC_01_top_product_purity_MEAS_06,distillation_column,top_product_purity,required
A线#生产率#测点13,steel_reheating_furnace,production_rate,useful
装置3-KILN_COAL_FEED-CH56-MEAS,cement_rotary_kiln,coal_feed,required
PLC_画面刷新周期_20,steel_reheating_furnace,__irrelevant__,irrelevant
装置5-窑主电机电流-CH10-PV,cement_rotary_kiln,kiln_current,useful
装置1-flue_gas_o2-CH37-PV,thermal_power_boiler,flue_gas_o2,required
RTU_办公室湿度_37,steel_reheating_furnace,__irrelevant__,irrelevant
RTU_会议室预约状态_83,cement_rotary_kiln,__irrelevant__,irrelevant
HMI.61.入炉钢坯温度.VALUE,steel_reheating_furnace,slab_entry_temp,useful
装置5-clinker_temperature-CH05-RAW,cement_rotary_kiln,clinker_temperature,useful
现场#SLAB_THICKNESS#测点37,steel_reheating_furnace,slab_thickness,useful
装置6-数据有效标记-CH70-RAW,steel_reheating_furnace,data_valid,useful
HMI_03_slab_width_RAW_64,steel_reheating_furnace,slab_width,useful
HMI.79.酸碱度.RAW,wastewater_aeration,ph,useful
现场#OUT_AMMONIA#测点54,wastewater_aeration,effluent_ammonia,required
PLC.39.O2_PERCENT.AI,thermal_power_boiler,flue_gas_o2,required
RTU_画面刷新周期_25,wastewater_aeration,__irrelevant__,irrelevant
RTU_04_effluent_cod_RAW_31,wastewater_aeration,effluent_cod,required
DCS.79.吹灰状态.VALUE,thermal_power_boiler,sootblower_state,useful
HMI.61.dissolved_oxygen.VALUE,wastewater_aeration,dissolved_oxygen,required
装置2-COAL_FLOW-CH61-VALUE,thermal_power_boiler,coal_flow,required
APC.37.质量码.MEAS,steel_reheating_furnace,data_valid,useful
DCS.55.炉煤量.RAW,cement_rotary_kiln,calciner_coal_feed,useful
现场#塔进料#测点56,distillation_column,feed_flow,required
装置9-再沸器蒸汽-CH22-PV,distillation_column,steam_flow,required
APC.22.进水流量.MEAS,wastewater_aeration,influent_flow,required
PLC_05_窑转速_MEAS_24,cement_rotary_kiln,kiln_speed,required
HMI.57.KILN_SPEED.AI,cement_rotary_kiln,kiln_speed,required
HMI.73.C1出口温度.RAW,cement_rotary_kiln,preheater_exit_temperature,useful
DCS.38.water_temperature.VALUE,wastewater_aeration,water_temperature,useful
HMI.37.clinker_temperature.RAW,cement_rotary_kiln,clinker_temperature,useful
PLC_会议室预约状态_61,steel_reheating_furnace,__irrelevant__,irrelevant
装置1-DRUM_LEVEL-CH63-PV,thermal_power_boiler,drum_level,useful
DCS.52.风机频率.RAW,wastewater_aeration,blower_frequency,useful
二期#出窑熟料温度#测点47,cement_rotary_kiln,clinker_temperature,useful
B线#总煤量#测点72,thermal_power_boiler,coal_flow,required
SIS.67.炉温3.AI,steel_reheating_furnace,furnace_zone3_temp,required
主控#燃煤量#测点92,thermal_power_boiler,coal_flow,required
APC_软件版本说明_12,thermal_power_boiler,__irrelevant__,irrelevant
APC_画面刷新周期_99,cement_rotary_kiln,__irrelevant__,irrelevant
DCS_04_effluent_ammonia_MEAS_98,wastewater_aeration,effluent_ammonia,required
装置1-火焰温度-CH48-RAW,thermal_power_boiler,furnace_temperature,useful
装置8-BATCH_ID-CH34-AI,steel_reheating_furnace,heat_id,useful
装置9-DO-CH30-RAW,wastewater_aeration,dissolved_oxygen,required
1号机组#DATETIME#测点16,wastewater_aeration,timestamp,required
RTU_06_采集时间_VALUE_97,distillation_column,timestamp,required
A线#blower_frequency#测点68,wastewater_aeration,blower_frequency,useful
装置8-BOTTOM_TEMP-CH35-PV,distillation_column,bottom_temperature,required
现场#回流液流量#测点49,distillation_column,reflux_flow,required
SIS_05_MAIN_STEAM_PRESSURE_VALUE_44,thermal_power_boiler,main_steam_pressure,required
装置2-id_fan_speed-CH61-VALUE,cement_rotary_kiln,id_fan_speed,useful
PLC.46.钢坯出口温度.AI,steel_reheating_furnace,slab_discharge_temp,required
现场#timestamp#测点31,thermal_power_boiler,timestamp,required
PLC_值班员电子签名_17,steel_reheating_furnace,__irrelevant__,irrelevant
二期#steam_flow#测点50,distillation_column,steam_flow,required
DCS_02_heat_id_RAW_07,steel_reheating_furnace,heat_id,useful
装置5-火焰温度-CH10-VALUE,thermal_power_boiler,furnace_temperature,useful
RTU.16.calciner_coal_feed.PV,cement_rotary_kiln,calciner_coal_feed,useful
DCS_02_flue_gas_temp_PV_39,steel_reheating_furnace,flue_gas_temp,useful
PLC.41.污泥回流量.RAW,wastewater_aeration,return_sludge_flow,useful
HMI_数据库备份状态_67,steel_reheating_furnace,__irrelevant__,irrelevant
APC.57.PH值.RAW,wastewater_aeration,ph,useful
RTU_值班员电子签名_58,wastewater_aeration,__irrelevant__,irrelevant
装置7-main_steam_pressure-CH25-MEAS,thermal_power_boiler,main_steam_pressure,required
装置7-进水流量-CH08-VALUE,wastewater_aeration,influent_flow,required
RTU.87.吹灰器状态.PV,thermal_power_boiler,sootblower_state,useful
B线#PA_FLOW#测点95,thermal_power_boiler,primary_air_flow,useful
装置5-BLOWER_FREQ-CH47-AI,wastewater_aeration,blower_frequency,useful
APC_摄像头在线标志_33,steel_reheating_furnace,__irrelevant__,irrelevant
APC.13.板坯宽度.AI,steel_reheating_furnace,slab_width,useful
DCS.50.炉膛温度.AI,thermal_power_boiler,furnace_temperature,useful
SIS.49.effluent_cod.AI,wastewater_aeration,effluent_cod,required
HMI_04_炉膛压强_VALUE_79,steel_reheating_furnace,furnace_pressure,useful
DCS_01_aeration_air_flow_AI_90,wastewater_aeration,aeration_air_flow,required
PLC.40.批次号.MEAS,steel_reheating_furnace,heat_id,useful
装置2-C1出口温度-CH19-RAW,cement_rotary_kiln,preheater_exit_temperature,useful
APC.42.炉温1.RAW,steel_reheating_furnace,furnace_zone1_temp,required
APC_摄像头在线标志_19,cement_rotary_kiln,__irrelevant__,irrelevant
装置4-UNIT_LOAD-CH04-VALUE,thermal_power_boiler,unit_load,required
SIS_01_小时产量_PV_72,steel_reheating_furnace,production_rate,useful
装置5-采集时间-CH32-MEAS,wastewater_aeration,timestamp,required
RTU_摄像头在线标志_41,wastewater_aeration,__irrelevant__,irrelevant
DCS_03_主汽流量_PV_36,thermal_power_boiler,main_steam_flow,useful
RTU_文件上传时间_18,cement_rotary_kiln,__irrelevant__,irrelevant
APC_会议室预约状态_70,thermal_power_boiler,__irrelevant__,irrelevant
RTU_04_SA_FLOW_PV_83,thermal_power_boiler,secondary_air_flow,useful
主控#PRESSURE_PA#测点99,steel_reheating_furnace,furnace_pressure,useful
DCS.88.预热段温度.MEAS,steel_reheating_furnace,furnace_zone1_temp,required
现场#煤气流量#测点60,steel_reheating_furnace,gas_flow,required
DCS_数据库备份状态_39,distillation_column,__irrelevant__,irrelevant
RTU_02_塔底液位_VALUE_69,distillation_column,bottom_level,useful
PLC_02_污水温度_VALUE_02,wastewater_aeration,water_temperature,useful
装置7-TOP_TEMP-CH34-PV,distillation_column,top_temperature,required
SIS.54.SA_FLOW.MEAS,thermal_power_boiler,secondary_air_flow,useful
1号机组#再沸器蒸汽#测点58,distillation_column,steam_flow,required
HMI.30.MAIN_STEAM_TEMP.VALUE,thermal_power_boiler,main_steam_temperature,required
SIS_05_kiln_inlet_o2_VALUE_20,cement_rotary_kiln,kiln_inlet_o2,useful
SIS_03_风机频率_MEAS_90,wastewater_aeration,blower_frequency,useful
DCS.49.时间.VALUE,steel_reheating_furnace,timestamp,required
PLC.86.slab_thickness.VALUE,steel_reheating_furnace,slab_thickness,useful
HMI_日报打印次数_45,wastewater_aeration,__irrelevant__,irrelevant
APC_01_O2_PERCENT_PV_69,steel_reheating_furnace,flue_gas_o2,useful
PLC_02_空预器入口氧量_MEAS_55,thermal_power_boiler,flue_gas_o2,required
装置9-炉膛压力-CH52-MEAS,steel_reheating_furnace,furnace_pressure,useful
装置7-SLAB_OUT_TEMP-CH92-MEAS,steel_reheating_furnace,slab_discharge_temp,required
现场#进水流量#测点92,wastewater_aeration,influent_flow,required
现场#SA_FLOW#测点65,thermal_power_boiler,secondary_air_flow,useful
装置1-slab_discharge_temp-CH82-RAW,steel_reheating_furnace,slab_discharge_temp,required
PLC_工单审批人_73,wastewater_aeration,__irrelevant__,irrelevant
DCS.63.QUALITY_FLAG.RAW,steel_reheating_furnace,data_valid,useful
装置2-AIR_FLOW-CH96-VALUE,steel_reheating_furnace,air_flow,required
1号机组#AIR_FLOW_NM3H#测点50,steel_reheating_furnace,air_flow,required
装置8-蒸汽流量-CH87-RAW,distillation_column,steam_flow,required
HMI.47.小时产量.AI,steel_reheating_furnace,production_rate,useful
装置7-FLUE_GAS_TEMP-CH58-PV,steel_reheating_furnace,flue_gas_temp,useful
PLC.25.furnace_zone1_temp.RAW,steel_reheating_furnace,furnace_zone1_temp,required
APC_鼠标点击计数_71,distillation_column,__irrelevant__,irrelevant
装置2-一次风量-CH29-MEAS,thermal_power_boiler,primary_air_flow,useful
APC_01_进水COD_AI_04,wastewater_aeration,influent_cod,required
SIS_视频码率_28,steel_reheating_furnace,__irrelevant__,irrelevant
装置8-furnace_zone1_temp-CH05-MEAS,steel_reheating_furnace,furnace_zone1_temp,required
A线#生料喂料量#测点28,cement_rotary_kiln,raw_meal_feed,required
HMI_会议室预约状态_28,wastewater_aeration,__irrelevant__,irrelevant
二期#塔顶温度#测点54,distillation_column,top_temperature,required
HMI.58.高温风机转速.AI,cement_rotary_kiln,id_fan_speed,useful
装置9-熟料游离钙-CH65-PV,cement_rotary_kiln,clinker_free_lime,required
APC.69.COAL_FEED.AI,cement_rotary_kiln,coal_feed,required
HMI_04_混合液污泥浓度_RAW_25,wastewater_aeration,mlss,required
APC_02_炉压_MEAS_63,thermal_power_boiler,furnace_pressure,required
主控#O2_PERCENT#测点28,steel_reheating_furnace,flue_gas_o2,useful
A线#锅炉给水#测点41,thermal_power_boiler,feedwater_flow,required
HMI_01_CLINKER_FCAO_MEAS_07,cement_rotary_kiln,clinker_free_lime,required
RTU_工单审批人_50,steel_reheating_furnace,__irrelevant__,irrelevant
装置2-ZONE2_TEMP-CH13-VALUE,steel_reheating_furnace,furnace_zone2_temp,required
APC.12.进水COD.VALUE,wastewater_aeration,influent_cod,required
APC_05_塔顶温度_MEAS_88,distillation_column,top_temperature,required
RTU_账户登录次数_80,distillation_column,__irrelevant__,irrelevant
DCS.40.含氧量.AI,steel_reheating_furnace,flue_gas_o2,useful
HMI_报表模板编号_95,thermal_power_boiler,__irrelevant__,irrelevant
HMI_鼠标点击计数_63,wastewater_aeration,__irrelevant__,irrelevant
B线#塔进料#测点88,distillation_column,feed_flow,required
装置7-进料温度-CH69-PV,distillation_column,feed_temperature,useful
PLC_04_kiln_inlet_o2_AI_15,cement_rotary_kiln,kiln_inlet_o2,useful
RTU.55.炉压.VALUE,thermal_power_boiler,furnace_pressure,required
DCS_网络往返时延_38,distillation_column,__irrelevant__,irrelevant
B线#塔顶产品纯度#测点93,distillation_column,top_product_purity,required
RTU_02_水温_VALUE_54,wastewater_aeration,water_temperature,useful
DCS_02_采集时间_AI_09,steel_reheating_furnace,timestamp,required
SIS_巡检照片地址_22,distillation_column,__irrelevant__,irrelevant
PLC.18.回流量.MEAS,distillation_column,reflux_flow,required
SIS_01_kiln_inlet_o2_AI_98,cement_rotary_kiln,kiln_inlet_o2,useful
装置5-主汽温-CH51-AI,thermal_power_boiler,main_steam_temperature,required
PLC_打印机墨粉余量_78,thermal_power_boiler,__irrelevant__,irrelevant
SIS_05_TOP_PURITY_MEAS_40,distillation_column,top_product_purity,required
PLC_06_一次风量_PV_17,thermal_power_boiler,primary_air_flow,useful
PLC_摄像头在线标志_74,distillation_column,__irrelevant__,irrelevant
DCS_打印机墨粉余量_85,steel_reheating_furnace,__irrelevant__,irrelevant
APC_软件版本说明_19,steel_reheating_furnace,__irrelevant__,irrelevant
DCS.50.SLAB_OUT_TEMP_C.VALUE,steel_reheating_furnace,slab_discharge_temp,required
RTU_05_塔釜液位_VALUE_23,distillation_column,bottom_level,useful
SIS_报表模板编号_92,wastewater_aeration,__irrelevant__,irrelevant
APC.80.WALKING_BEAM_SPEED.VALUE,steel_reheating_furnace,walking_beam_speed,required
SIS.17.一次风量.MEAS,thermal_power_boiler,primary_air_flow,useful
RTU.64.mlss.VALUE,wastewater_aeration,mlss,required
装置9-有功功率-CH65-PV,thermal_power_boiler,unit_load,required
SIS.73.汽包液位.AI,thermal_power_boiler,drum_level,useful
RTU_06_塔内压力_VALUE_02,distillation_column,column_pressure,useful
PLC_03_一级筒出口温度_AI_78,cement_rotary_kiln,preheater_exit_temperature,useful
主控#鼓风量#测点80,wastewater_aeration,aeration_air_flow,required
HMI.85.AFR.AI,steel_reheating_furnace,air_fuel_ratio,useful
RTU_02_塔底温度_PV_59,distillation_column,bottom_temperature,required
装置4-主传电流-CH97-MEAS,cement_rotary_kiln,kiln_current,useful
PLC_01_slab_entry_temp_AI_32,steel_reheating_furnace,slab_entry_temp,useful
DCS_摄像头在线标志_75,thermal_power_boiler,__irrelevant__,irrelevant
PLC_02_TIME_PV_13,cement_rotary_kiln,timestamp,required
PLC_01_feed_flow_VALUE_12,distillation_column,feed_flow,required
二期#KILN_CURRENT#测点51,cement_rotary_kiln,kiln_current,useful
现场#ENTRY_TEMP#测点24,steel_reheating_furnace,slab_entry_temp,useful
DCS_01_出水COD_RAW_68,wastewater_aeration,effluent_cod,required
RTU_办公室湿度_43,distillation_column,__irrelevant__,irrelevant
主控#RETURN_SLUDGE_FLOW#测点8,wastewater_aeration,return_sludge_flow,useful
APC_01_PREHEATER_EXIT_TEMP_MEAS_30,cement_rotary_kiln,preheater_exit_temperature,useful
DCS_05_effluent_ammonia_VALUE_04,wastewater_aeration,effluent_ammonia,required
HMI.22.生料量.PV,cement_rotary_kiln,raw_meal_feed,required
主控#窑尾风机转速#测点61,cement_rotary_kiln,id_fan_speed,useful
DCS_画面刷新周期_86,thermal_power_boiler,__irrelevant__,irrelevant
A线#FURNACE_PRESSURE#测点8,thermal_power_boiler,furnace_pressure,required
RTU_数据库备份状态_90,cement_rotary_kiln,__irrelevant__,irrelevant
装置1-CLINKER_TEMP-CH40-RAW,cement_rotary_kiln,clinker_temperature,useful
装置1-furnace_pressure-CH17-AI,steel_reheating_furnace,furnace_pressure,useful
RTU_值班员电子签名_40,thermal_power_boiler,__irrelevant__,irrelevant
装置7-加热段炉温-CH80-MEAS,steel_reheating_furnace,furnace_zone2_temp,required
装置1-return_sludge_flow-CH13-VALUE,wastewater_aeration,return_sludge_flow,useful
DCS_办公室湿度_81,thermal_power_boiler,__irrelevant__,irrelevant
装置2-MAIN_STEAM_FLOW-CH94-MEAS,thermal_power_boiler,main_steam_flow,useful
RTU_01_窑尾烟室温度_RAW_65,cement_rotary_kiln,kiln_inlet_temperature,required
装置6-塔顶产品纯度-CH12-RAW,distillation_column,top_product_purity,required
A线#FLUE_GAS_O2#测点5,thermal_power_boiler,flue_gas_o2,required
APC_06_空燃比_AI_17,steel_reheating_furnace,air_fuel_ratio,useful
SIS_06_coal_feed_AI_31,cement_rotary_kiln,coal_feed,required
RTU.38.釜温.MEAS,distillation_column,bottom_temperature,required
DCS_06_TIME_AI_57,wastewater_aeration,timestamp,required
SIS_巡检照片地址_88,cement_rotary_kiln,__irrelevant__,irrelevant
装置2-记录时间-CH44-PV,distillation_column,timestamp,required
HMI.19.DISSOLVED_OXYGEN.PV,wastewater_aeration,dissolved_oxygen,required
装置9-DATETIME-CH96-MEAS,steel_reheating_furnace,timestamp,required
APC_06_炉温3_MEAS_93,steel_reheating_furnace,furnace_zone3_temp,required
PLC_04_塔顶压力_MEAS_08,distillation_column,column_pressure,useful
PLC_03_kiln_inlet_temperature_VALUE_03,cement_rotary_kiln,kiln_inlet_temperature,required
